Variable name,"var_availability (this was calculated using the full final_dataset.csv, with all subjects)",Category of variable,Sub-category of variable,Metadata: CRFNAME,Metadata: TEXT,Key variable,
ADNI_DTIROI_10_03_19__AD_SCR_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior corona radiata left ,,
ADNI_DTIROI_10_03_19__AD_SCR_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior corona radiata right ,,
ADNI_DTIROI_10_03_19__AD_PCR_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Posterior corona radiata left ,,
ADNI_DTIROI_10_03_19__AD_PCR_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Posterior corona radiata right ,,
ADNI_DTIROI_10_03_19__AD_CGC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Cingulum left ,,
ADNI_DTIROI_10_03_19__AD_CGC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Cingulum right ,,
ADNI_DTIROI_10_03_19__AD_CGH_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Cingulum (hippocampus) left ,,
ADNI_DTIROI_10_03_19__AD_CGH_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Cingulum (hippocampus) right ,,
ADNI_DTIROI_10_03_19__AD_FX_ST_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Fornix (cres) / Stria terminalis left ,,
ADNI_DTIROI_10_03_19__AD_FX_ST_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Fornix (cres) / Stria terminalis right ,,
ADNI_DTIROI_10_03_19__AD_SLF_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior longitudinal fasciculus left ,,
ADNI_DTIROI_10_03_19__AD_SLF_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior longitudinal fasciculus right ,,
ADNI_DTIROI_10_03_19__AD_SFO_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior fronto-occipital fasciculus left ,,
ADNI_DTIROI_10_03_19__AD_SFO_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior fronto-occipital fasciculus right ,,
ADNI_DTIROI_10_03_19__AD_IFO_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Inferior fronto-occipital fasciculus left ,,
ADNI_DTIROI_10_03_19__AD_IFO_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Inferior fronto-occipital fasciculus right ,,
ADNI_DTIROI_10_03_19__AD_SS_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Sagittal stratum left ,,
ADNI_DTIROI_10_03_19__AD_SS_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Sagittal stratum right ,,
ADNI_DTIROI_10_03_19__AD_EC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,External capsule left ,,
ADNI_DTIROI_10_03_19__AD_EC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,External capsule right ,,
ADNI_DTIROI_10_03_19__AD_UNC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Uncinate fasciculus left ,,
ADNI_DTIROI_10_03_19__AD_UNC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Uncinate fasciculus right ,,
ADNI_DTIROI_10_03_19__AD_FX_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Fornix  left ,,
ADNI_DTIROI_10_03_19__AD_FX_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Fornix  right ,,
ADNI_DTIROI_10_03_19__AD_GCC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Genu of corpus callosum left ,,
ADNI_DTIROI_10_03_19__AD_GCC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Genu of corpus callosum right ,,
ADNI_DTIROI_10_03_19__AD_BCC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Body of corpus callosum  left ,,
ADNI_DTIROI_10_03_19__AD_BCC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Body of corpus callosum  right ,,
ADNI_DTIROI_10_03_19__AD_SCC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Splenium of corpus callosum left ,,
ADNI_DTIROI_10_03_19__AD_SCC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Splenium of corpus callosum right ,,
ADNI_DTIROI_10_03_19__AD_RLIC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Retrolenticular part of internal capsule left ,,
ADNI_DTIROI_10_03_19__AD_RLIC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Retrolenticular part of internal capsule right ,,
ADNI_DTIROI_10_03_19__AD_TAP_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Tapatum left ,,
ADNI_DTIROI_10_03_19__AD_TAP_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Tapatum right ,,
ADNI_DTIROI_10_03_19__AD_SUMGCC,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Bilateral genu of the corpus callosum ,,
ADNI_DTIROI_10_03_19__AD_SUMBCC,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Bilateral body of  the corpus callosum ,,
ADNI_DTIROI_10_03_19__AD_SUMSCC,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Bilateral splenium of  the corpus callosum ,,
ADNI_DTIROI_10_03_19__AD_SUMCC,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Bilateral full corpus callosum ,,
ADNI_DTIROI_10_03_19__AD_SUMFX,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Bilateral fornix ,,
ADNI_DTIROI_10_03_19__FA_CST_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Corticospinal tract left ,,
ADNI_DTIROI_10_03_19__FA_CST_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Corticospinal tract right ,,
ADNI_DTIROI_10_03_19__FA_ICP_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Inferior cerebellar peduncle left ,,
ADNI_DTIROI_10_03_19__FA_ICP_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Inferior cerebellar peduncle right ,,
ADNI_DTIROI_10_03_19__FA_ML_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Medial lemniscus left ,,
ADNI_DTIROI_10_03_19__FA_ML_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Medial lemniscus right ,,
ADNI_DTIROI_10_03_19__FA_SCP_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior cerebellar peduncle left ,,
ADNI_DTIROI_10_03_19__FA_SCP_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior cerebellar peduncle right ,,
ADNI_DTIROI_10_03_19__FA_CP_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Cerebral peduncle left ,,
ADNI_DTIROI_10_03_19__FA_CP_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Cerebral peduncle right ,,
ADNI_DTIROI_10_03_19__FA_ALIC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Anterior limb of internal capsule left ,,
ADNI_DTIROI_10_03_19__FA_ALIC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Anterior limb of internal capsule right ,,
ADNI_DTIROI_10_03_19__FA_PLIC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Posterior limb of internal capsule left ,,
ADNI_DTIROI_10_03_19__FA_PLIC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Posterior limb of internal capsule right ,,
ADNI_DTIROI_10_03_19__FA_PTR_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Posterior thalamic radiation left ,,
ADNI_DTIROI_10_03_19__FA_PTR_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Posterior thalamic radiation right ,,
ADNI_DTIROI_10_03_19__FA_ACR_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Anterior corona radiata left ,,
ADNI_DTIROI_10_03_19__FA_ACR_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Anterior corona radiata right ,,
ADNI_DTIROI_10_03_19__FA_SCR_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior corona radiata left ,,
ADNI_DTIROI_10_03_19__FA_SCR_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior corona radiata right ,,
ADNI_DTIROI_10_03_19__FA_PCR_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Posterior corona radiata left ,,
ADNI_DTIROI_10_03_19__FA_PCR_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Posterior corona radiata right ,,
ADNI_DTIROI_10_03_19__FA_CGC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Cingulum left ,,
ADNI_DTIROI_10_03_19__FA_CGC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Cingulum right ,,
ADNI_DTIROI_10_03_19__FA_CGH_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Cingulum (hippocampus) left ,,
ADNI_DTIROI_10_03_19__FA_CGH_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Cingulum (hippocampus) right ,,
ADNI_DTIROI_10_03_19__FA_FX_ST_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Fornix (cres) / Stria terminalis left ,,
ADNI_DTIROI_10_03_19__FA_FX_ST_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Fornix (cres) / Stria terminalis right ,,
ADNI_DTIROI_10_03_19__FA_SLF_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior longitudinal fasciculus left ,,
ADNI_DTIROI_10_03_19__FA_SLF_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior longitudinal fasciculus right ,,
ADNI_DTIROI_10_03_19__FA_SFO_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior fronto-occipital fasciculus left ,,
ADNI_DTIROI_10_03_19__FA_SFO_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior fronto-occipital fasciculus right ,,
ADNI_DTIROI_10_03_19__FA_IFO_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Inferior fronto-occipital fasciculus left ,,
ADNI_DTIROI_10_03_19__FA_IFO_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Inferior fronto-occipital fasciculus right ,,
ADNI_DTIROI_10_03_19__FA_SS_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Sagittal stratum left ,,
ADNI_DTIROI_10_03_19__FA_SS_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Sagittal stratum right ,,
ADNI_DTIROI_10_03_19__FA_EC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,External capsule left ,,
ADNI_DTIROI_10_03_19__FA_EC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,External capsule right ,,
ADNI_DTIROI_10_03_19__FA_UNC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Uncinate fasciculus left ,,
ADNI_DTIROI_10_03_19__FA_UNC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Uncinate fasciculus right ,,
ADNI_DTIROI_10_03_19__FA_FX_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Fornix  left ,,
ADNI_DTIROI_10_03_19__FA_FX_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Fornix  right ,,
ADNI_DTIROI_10_03_19__FA_GCC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Genu of corpus callosum left ,,
ADNI_DTIROI_10_03_19__FA_GCC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Genu of corpus callosum right ,,
ADNI_DTIROI_10_03_19__FA_BCC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Body of corpus callosum  left ,,
ADNI_DTIROI_10_03_19__FA_BCC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Body of corpus callosum  right ,,
ADNI_DTIROI_10_03_19__FA_SCC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Splenium of corpus callosum left ,,
ADNI_DTIROI_10_03_19__FA_SCC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Splenium of corpus callosum right ,,
ADNI_DTIROI_10_03_19__FA_RLIC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Retrolenticular part of internal capsule left ,,
ADNI_DTIROI_10_03_19__FA_RLIC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Retrolenticular part of internal capsule right ,,
ADNI_DTIROI_10_03_19__FA_TAP_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Tapatum left ,,
ADNI_DTIROI_10_03_19__FA_TAP_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Tapatum right ,,
ADNI_DTIROI_10_03_19__FA_SUMGCC,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Bilateral genu of the corpus callosum ,,
ADNI_DTIROI_10_03_19__FA_SUMBCC,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Bilateral body of  the corpus callosum ,,
ADNI_DTIROI_10_03_19__FA_SUMSCC,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Bilateral splenium of  the corpus callosum ,,
ADNI_DTIROI_10_03_19__FA_SUMCC,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Bilateral full corpus callosum ,,
ADNI_DTIROI_10_03_19__FA_SUMFX,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Bilateral fornix ,,
ADNI_DTIROI_10_03_19__MD_CST_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Corticospinal tract left ,,
ADNI_DTIROI_10_03_19__MD_CST_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Corticospinal tract right ,,
ADNI_DTIROI_10_03_19__MD_ICP_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Inferior cerebellar peduncle left ,,
ADNI_DTIROI_10_03_19__MD_ICP_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Inferior cerebellar peduncle right ,,
ADNI_DTIROI_10_03_19__MD_ML_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Medial lemniscus left ,,
ADNI_DTIROI_10_03_19__MD_ML_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Medial lemniscus right ,,
ADNI_DTIROI_10_03_19__MD_SCP_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior cerebellar peduncle left ,,
ADNI_DTIROI_10_03_19__MD_SCP_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior cerebellar peduncle right ,,
ADNI_DTIROI_10_03_19__MD_CP_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Cerebral peduncle left ,,
ADNI_DTIROI_10_03_19__MD_CP_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Cerebral peduncle right ,,
ADNI_DTIROI_10_03_19__MD_ALIC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Anterior limb of internal capsule left ,,
ADNI_DTIROI_10_03_19__MD_ALIC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Anterior limb of internal capsule right ,,
ADNI_DTIROI_10_03_19__MD_PLIC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Posterior limb of internal capsule left ,,
ADNI_DTIROI_10_03_19__MD_PLIC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Posterior limb of internal capsule right ,,
ADNI_DTIROI_10_03_19__MD_PTR_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Posterior thalamic radiation left ,,
ADNI_DTIROI_10_03_19__MD_PTR_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Posterior thalamic radiation right ,,
ADNI_DTIROI_10_03_19__MD_ACR_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Anterior corona radiata left ,,
ADNI_DTIROI_10_03_19__MD_ACR_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Anterior corona radiata right ,,
ADNI_DTIROI_10_03_19__MD_SCR_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior corona radiata left ,,
ADNI_DTIROI_10_03_19__MD_SCR_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior corona radiata right ,,
ADNI_DTIROI_10_03_19__MD_PCR_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Posterior corona radiata left ,,
ADNI_DTIROI_10_03_19__MD_PCR_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Posterior corona radiata right ,,
ADNI_DTIROI_10_03_19__MD_CGC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Cingulum left ,,
ADNI_DTIROI_10_03_19__MD_CGC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Cingulum right ,,
ADNI_DTIROI_10_03_19__MD_CGH_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Cingulum (hippocampus) left ,,
ADNI_DTIROI_10_03_19__MD_CGH_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Cingulum (hippocampus) right ,,
ADNI_DTIROI_10_03_19__MD_FX_ST_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Fornix (cres) / Stria terminalis left ,,
ADNI_DTIROI_10_03_19__MD_FX_ST_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Fornix (cres) / Stria terminalis right ,,
ADNI_DTIROI_10_03_19__MD_SLF_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior longitudinal fasciculus left ,,
ADNI_DTIROI_10_03_19__MD_SLF_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior longitudinal fasciculus right ,,
ADNI_DTIROI_10_03_19__MD_SFO_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior fronto-occipital fasciculus left ,,
ADNI_DTIROI_10_03_19__MD_SFO_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior fronto-occipital fasciculus right ,,
ADNI_DTIROI_10_03_19__MD_IFO_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Inferior fronto-occipital fasciculus left ,,
ADNI_DTIROI_10_03_19__MD_IFO_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Inferior fronto-occipital fasciculus right ,,
ADNI_DTIROI_10_03_19__MD_SS_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Sagittal stratum left ,,
ADNI_DTIROI_10_03_19__MD_SS_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Sagittal stratum right ,,
ADNI_DTIROI_10_03_19__MD_EC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,External capsule left ,,
ADNI_DTIROI_10_03_19__MD_EC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,External capsule right ,,
ADNI_DTIROI_10_03_19__MD_UNC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Uncinate fasciculus left ,,
ADNI_DTIROI_10_03_19__MD_UNC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Uncinate fasciculus right ,,
ADNI_DTIROI_10_03_19__MD_FX_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Fornix  left ,,
ADNI_DTIROI_10_03_19__MD_FX_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Fornix  right ,,
ADNI_DTIROI_10_03_19__MD_GCC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Genu of corpus callosum left ,,
ADNI_DTIROI_10_03_19__MD_GCC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Genu of corpus callosum right ,,
ADNI_DTIROI_10_03_19__MD_BCC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Body of corpus callosum  left ,,
ADNI_DTIROI_10_03_19__MD_BCC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Body of corpus callosum  right ,,
ADNI_DTIROI_10_03_19__MD_SCC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Splenium of corpus callosum left ,,
ADNI_DTIROI_10_03_19__MD_SCC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Splenium of corpus callosum right ,,
ADNI_DTIROI_10_03_19__MD_RLIC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Retrolenticular part of internal capsule left ,,
ADNI_DTIROI_10_03_19__MD_RLIC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Retrolenticular part of internal capsule right ,,
ADNI_DTIROI_10_03_19__MD_TAP_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Tapatum left ,,
ADNI_DTIROI_10_03_19__MD_TAP_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Tapatum right ,,
ADNI_DTIROI_10_03_19__MD_SUMGCC,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Bilateral genu of the corpus callosum ,,
ADNI_DTIROI_10_03_19__MD_SUMBCC,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Bilateral body of  the corpus callosum ,,
ADNI_DTIROI_10_03_19__MD_SUMSCC,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Bilateral splenium of  the corpus callosum ,,
ADNI_DTIROI_10_03_19__MD_SUMCC,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Bilateral full corpus callosum ,,
ADNI_DTIROI_10_03_19__MD_SUMFX,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Bilateral fornix ,,
ADNI_DTIROI_10_03_19__RD_CST_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Corticospinal tract left ,,
ADNI_DTIROI_10_03_19__RD_CST_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Corticospinal tract right ,,
ADNI_DTIROI_10_03_19__RD_ICP_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Inferior cerebellar peduncle left ,,
ADNI_DTIROI_10_03_19__RD_ICP_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Inferior cerebellar peduncle right ,,
ADNI_DTIROI_10_03_19__RD_ML_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Medial lemniscus left ,,
ADNI_DTIROI_10_03_19__RD_ML_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Medial lemniscus right ,,
ADNI_DTIROI_10_03_19__RD_SCP_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior cerebellar peduncle left ,,
ADNI_DTIROI_10_03_19__RD_SCP_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior cerebellar peduncle right ,,
ADNI_DTIROI_10_03_19__RD_CP_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Cerebral peduncle left ,,
ADNI_DTIROI_10_03_19__RD_CP_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Cerebral peduncle right ,,
ADNI_DTIROI_10_03_19__RD_ALIC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Anterior limb of internal capsule left ,,
ADNI_DTIROI_10_03_19__RD_ALIC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Anterior limb of internal capsule right ,,
ADNI_DTIROI_10_03_19__RD_PLIC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Posterior limb of internal capsule left ,,
ADNI_DTIROI_10_03_19__RD_PLIC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Posterior limb of internal capsule right ,,
ADNI_DTIROI_10_03_19__RD_PTR_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Posterior thalamic radiation left ,,
ADNI_DTIROI_10_03_19__RD_PTR_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Posterior thalamic radiation right ,,
ADNI_DTIROI_10_03_19__RD_ACR_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Anterior corona radiata left ,,
ADNI_DTIROI_10_03_19__RD_ACR_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Anterior corona radiata right ,,
ADNI_DTIROI_10_03_19__RD_SCR_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior corona radiata left ,,
ADNI_DTIROI_10_03_19__RD_SCR_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior corona radiata right ,,
ADNI_DTIROI_10_03_19__RD_PCR_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Posterior corona radiata left ,,
ADNI_DTIROI_10_03_19__RD_PCR_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Posterior corona radiata right ,,
ADNI_DTIROI_10_03_19__RD_CGC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Cingulum left ,,
ADNI_DTIROI_10_03_19__RD_CGC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Cingulum right ,,
ADNI_DTIROI_10_03_19__RD_CGH_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Cingulum (hippocampus) left ,,
ADNI_DTIROI_10_03_19__RD_CGH_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Cingulum (hippocampus) right ,,
ADNI_DTIROI_10_03_19__RD_FX_ST_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Fornix (cres) / Stria terminalis left ,,
ADNI_DTIROI_10_03_19__RD_FX_ST_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Fornix (cres) / Stria terminalis right ,,
ADNI_DTIROI_10_03_19__RD_SLF_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior longitudinal fasciculus left ,,
ADNI_DTIROI_10_03_19__RD_SLF_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior longitudinal fasciculus right ,,
ADNI_DTIROI_10_03_19__RD_SFO_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior fronto-occipital fasciculus left ,,
ADNI_DTIROI_10_03_19__RD_SFO_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Superior fronto-occipital fasciculus right ,,
ADNI_DTIROI_10_03_19__RD_IFO_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Inferior fronto-occipital fasciculus left ,,
ADNI_DTIROI_10_03_19__RD_IFO_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Inferior fronto-occipital fasciculus right ,,
ADNI_DTIROI_10_03_19__RD_SS_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Sagittal stratum left ,,
ADNI_DTIROI_10_03_19__RD_SS_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Sagittal stratum right ,,
ADNI_DTIROI_10_03_19__RD_EC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,External capsule left ,,
ADNI_DTIROI_10_03_19__RD_EC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,External capsule right ,,
ADNI_DTIROI_10_03_19__RD_UNC_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Uncinate fasciculus left ,,
ADNI_DTIROI_10_03_19__RD_UNC_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Uncinate fasciculus right ,,
ADNI_DTIROI_10_03_19__RD_FX_L,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Fornix  left ,,
ADNI_DTIROI_10_03_19__RD_FX_R,6.293881645,Imaging,MRI - DTI,DTI ROI summary measures,Fornix  right ,,
